epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6534,2.18107,2.78522,2.16172,0.23305,0.26252,0.18267,0.05834,1.59767,8.28286,1.61483,0.0671964,0.000331349,0.000331349
2,192.175,2.12555,2.5186,2.1553,0.17331,0.34636,0.18867,0.05461,1.61533,3.88458,1.66879,0.0341962,0.000664429,0.000664429
3,303.42,2.11993,2.49142,2.14759,0.30271,0.31825,0.25218,0.08187,1.55782,3.05229,1.58622,0.00119491,0.000996493,0.000996493
4,414.235,2.09912,2.44205,2.10855,0.42661,0.31517,0.22668,0.07124,1.58948,3.98429,1.54884,0.000996569,0.000996569,0.000996569
5,524.321,2.09389,2.39811,2.07817,0.32016,0.36695,0.28119,0.09267,1.57578,3.38501,1.5819,0.000993906,0.000993906,0.000993906
6,633.811,2.0612,2.37733,2.0493,0.35244,0.35288,0.2892,0.09372,1.54844,2.14925,1.50635,0.000990489,0.000990489,0.000990489
7,744.511,2.03987,2.32568,2.04123,0.38758,0.34062,0.30182,0.10218,1.5121,2.42493,1.53429,0.000986323,0.000986323,0.000986323
8,855.33,2.02756,2.2952,2.02633,0.38524,0.32171,0.29997,0.09801,1.54783,22.3566,1.52437,0.000981415,0.000981415,0.000981415
9,961.681,2.01559,2.27932,2.00414,0.38735,0.36325,0.34005,0.1143,1.51604,2.13941,1.48536,0.000975773,0.000975773,0.000975773
10,1039.58,1.99955,2.28058,1.98603,0.37269,0.34945,0.32783,0.10827,1.46757,4.8267,1.4826,0.000969405,0.000969405,0.000969405
11,1115.44,1.99592,2.2669,1.99977,0.37904,0.40255,0.33524,0.11885,1.52341,6.16681,1.48204,0.00096232,0.00096232,0.00096232
12,1191.75,1.97978,2.22173,1.97477,0.41127,0.37994,0.35071,0.12676,1.46748,3.20511,1.45196,0.000954531,0.000954531,0.000954531
13,1272.36,1.98361,2.21134,1.96711,0.39619,0.39076,0.32935,0.10994,1.50336,2.52973,1.45993,0.000946048,0.000946048,0.000946048
14,1352.71,1.97927,2.21,1.96974,0.41008,0.3588,0.33064,0.11386,1.48891,4.02419,1.43813,0.000936886,0.000936886,0.000936886
15,1432.26,1.95413,2.16468,1.9415,0.4407,0.40419,0.38287,0.13091,1.47579,3.42973,1.43457,0.000927057,0.000927057,0.000927057
16,1507.41,1.96254,2.14849,1.96062,0.44951,0.36288,0.35462,0.12246,1.48725,6.53799,1.45357,0.000916577,0.000916577,0.000916577
17,1583.74,1.95711,2.14296,1.94139,0.4127,0.39871,0.37534,0.13291,1.4656,6.79278,1.4344,0.000905463,0.000905463,0.000905463
18,1659.62,1.94058,2.12906,1.95249,0.39177,0.42732,0.38341,0.13235,1.47758,2.82386,1.4647,0.000893732,0.000893732,0.000893732
19,1739,1.93665,2.11963,1.91335,0.43263,0.41403,0.4023,0.13884,1.46817,3.75449,1.42249,0.000881401,0.000881401,0.000881401
20,1818.01,1.93002,2.10079,1.92021,0.44404,0.41529,0.39812,0.14016,1.50458,2.48304,1.46237,0.00086849,0.00086849,0.00086849
21,1897.72,1.92213,2.07904,1.90726,0.45124,0.44269,0.43255,0.15289,1.47559,2.75493,1.43404,0.000855018,0.000855018,0.000855018
22,1975.2,1.9181,2.06623,1.9123,0.47529,0.45437,0.44037,0.16231,1.44833,3.16394,1.3966,0.000841006,0.000841006,0.000841006
23,2052.16,1.91621,2.05164,1.90413,0.47414,0.40928,0.42097,0.15296,1.45504,1.7439,1.41297,0.000826477,0.000826477,0.000826477
24,2128.46,1.91517,2.06885,1.91571,0.47052,0.41808,0.41272,0.14214,1.49233,3.28905,1.44826,0.000811452,0.000811452,0.000811452
25,2205.23,1.89389,2.02749,1.89848,0.47842,0.44735,0.4272,0.15348,1.45115,2.55277,1.42059,0.000795954,0.000795954,0.000795954
26,2281.67,1.89928,2.02038,1.89242,0.45694,0.45399,0.44386,0.16116,1.4499,5.19275,1.3972,0.000780007,0.000780007,0.000780007
27,2358.22,1.88793,2.01998,1.88703,0.44377,0.46415,0.44085,0.16681,1.43349,5.98704,1.38914,0.000763637,0.000763637,0.000763637
